[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 31. 21.007.20095 (Win), 21.007.20096 (Mac) Optional update, Sept 29, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 32. 21.007.20091 Planned update, Sept 14, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 33. 21.005.20060 Optional update, July 28, 2021 (Windows Only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 34. 21.005.20058 Planned update, July 13, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 35. 21.005.20054 Optional update, June 23, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 36. 21.005.20048 Planned update, June 08, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 37. 21.001.20155 Planned update, May 11, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 38. 21.001.201xx Optional update, Apr 16, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 39. 21.001.20145 Optional update, Mar 10, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 40. 21.001.20142 Optional update, Feb 25, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 41. 21.001.20140 Optional update, Feb 22, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 42. 21.001.20138 Optional update, Feb 15, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 43. 21.001.20135 Planned update, Feb 09, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 44. 20.013.20074 Out of cycle update, December 09, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 45. 20.013.20066 Optional update, Nov 23, 2020 (Windows Only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 46. 20.013.20064 Planned update, Nov 03, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 47. 20.012.20048 Optional update, Sep 24, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 48. 20.012.20043 Optional update, Aug 19, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 49. 20.012.20041 Planned update, Aug 11, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 50. 20.009.20074 Optional update, July 06, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 51. 20.009.20067 Optional update, June 02, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 52. 20.009.20065 Optional update, May 21, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 53. 20.009.20063 Planned update, May 12, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 54. 20.006.20042 Planned update, March 17, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 55. 20.006.20034 Planned update, February 11, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 56. 19.021.20061 Optional update, December 19, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 57. 19.021.20058 Planned update, December 10, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 58. 19.021.20056 Optional update, November 13, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 59. 19.021.20049 Optional update, October 24, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 60. 19.021.20048 Out of cycle update, October 17, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 61. 19.021.20047 Planned update, October 15, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 62. 19.012.20040 Optional update, August 22, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 63. 19.012.20036 Planned update, August 13, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 64. 19.012.20035 Optional update, June 13, 2019 (Windows Only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 65. 19.012.20034 Planned update, May 14, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 66. 19.010.20100 Optional update, April 16, 2019 (Windows Only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 67. 19.010.20099 Planned update, April 09, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 68. 19.010.20098 Out of cycle update, February 21, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 69. 19.010.20091 Planned update, February 12, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 70. 19.010.20069 Out of cycle update, January 03, 2019
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 71. 19.010.20064 Planned update, December 11, 2018
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 72. 19.008.20081 Planned update, November 13, 2018 (Windows Only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 73. 19.008.20080 Optional update, October 22, 2018
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 74. 19.008.20074 Optional update, October 08, 2018
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 75. 19.008.20071 Planned update, October 02, 2018
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 76. 18.011.20063 Out of cycle update, September 19, 2018
